estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,flag_nested,0.01224705180454333
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,market_1,0.0009549997330634552
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,block_2_3,0.008861284741478181
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,block_4_6,0.04004302512913993
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,top_3,0.006177437728382973
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,top_6,0.020814149652257512
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-03-15,2019-12-11,2021-05-13,352,flag_nested,0.009315529037901314
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,market_1,0.0008881000471164802
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,block_2_3,0.006299671716285649
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,block_4_6,0.03975495844100537
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,top_3,0.004483374884475477
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,top_6,0.020655750990731764
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-05,2020-01-02,2021-06-03,353,flag_nested,0.008675741974107908
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,market_1,0.0010702002816339595
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,block_2_3,0.007321968145436286
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,block_4_6,0.04334855155070357
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,top_3,0.005174876821164798
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,top_6,0.02238021464681461
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-04-23,2020-01-23,2021-06-23,354,flag_nested,0.00954176391653779
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,market_1,0.00104318208219345
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,block_2_3,0.005825890384301702
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,block_4_6,0.027544351152032725
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,top_3,0.004118021164524717
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,top_6,0.014939947137252071
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-05-13,2020-02-12,2021-07-14,355,flag_nested,0.006700383461323413
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,market_1,0.0011061740035489542
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,block_2_3,0.005261459642346478
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,block_4_6,0.03472962906916077
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,top_3,0.003632872830076591
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,top_6,0.018681617362469538
