,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
370,7.062080396899856,3.235892810464427,250,29,1.9748602478070927
380,7.185722498429992,3.347422875470673,250,29,1.9748602478070927
390,7.31723138243788,3.4644018959291474,250,29,1.9748602478070927
400,7.467016587428957,3.58570014707485,250,29,1.9748602478070927
410,7.649048655123015,3.704326519629613,250,29,1.9748602478070927
420,7.847785905143795,3.82204414503244,250,29,1.9748602478070927
430,8.029372919715062,3.935871009089751,250,29,1.9748602478070927
440,8.187883238482142,4.040997520629104,250,29,1.9748602478070927
450,8.369612636248632,4.158912051917855,250,29,1.9748602478070927
460,8.54587447519543,4.270396171507756,250,29,1.9748602478070927
470,8.68946083659887,4.376560209745244,250,29,1.9748602478070927
480,8.849906123407083,4.483671636130032,250,29,1.9748602478070927
490,8.978302838067474,4.585864094465815,250,29,1.9748602478070927
500,9.094923872977086,4.686923462450306,250,29,1.9748602478070927
510,9.200383130307658,4.78253263791205,250,29,1.9748602478070927
520,9.2933921911965,4.8705272400535495,250,29,1.9748602478070927
530,9.36444636348663,4.946647935775394,250,29,1.9748602478070927
540,9.407879186463697,5.011500459992249,250,29,1.9748602478070927
550,9.423539955968826,5.0632666671490725,250,29,1.9748602478070927
560,9.411835538887102,5.104966729439801,250,29,1.9748602478070927
570,9.40961374631694,5.138309068242255,250,29,1.9748602478070927
580,9.403856000501595,5.165613031890601,250,29,1.9748602478070927
590,9.417436194906832,5.186302156470999,250,29,1.9748602478070927
600,9.437122338785455,5.192470855502271,250,29,1.9748602478070927
610,9.468739247581526,5.183039568924089,250,29,1.9748602478070927
620,9.504202441002535,5.15372284744449,250,29,1.9748602478070927
630,9.540237628098966,5.110642181966307,250,29,1.9748602478070927
640,9.58031312337936,5.060149820603648,250,29,1.9748602478070927
650,9.59139886131887,4.998200301352272,250,29,1.9748602478070927
660,9.578250727668184,4.932400214963171,250,29,1.9748602478070927
670,9.560609056973753,4.869337136122762,250,29,1.9748602478070927
680,9.554811317639526,4.81570958065054,250,29,1.9748602478070927
690,9.546310592761678,4.769263554697074,250,29,1.9748602478070927
700,9.553582951027733,4.708893416463925,250,29,1.9748602478070927
710,9.56912927918913,4.656328673291767,250,29,1.9748602478070927
720,9.603411608261203,4.611535132120118,250,29,1.9748602478070927
730,9.593863864688306,4.557026003488061,250,29,1.9748602478070927
740,9.601460468412327,4.502058521874627,250,29,1.9748602478070927
750,9.567899389755842,4.433433869205433,250,29,1.9748602478070927
760,9.495586623604437,4.350081962939266,250,29,1.9748602478070927
770,9.41054808827201,4.2656226995815345,250,29,1.9748602478070927
780,9.325998458508924,4.189802123799038,250,29,1.9748602478070927
790,9.266269710409999,4.127666458725363,250,29,1.9748602478070927
800,9.226206850812765,4.06785378099989,250,29,1.9748602478070927
810,9.193127154553824,4.015516516082477,250,29,1.9748602478070927
820,9.170458283368458,3.9835264039037184,250,29,1.9748602478070927
830,9.159823441231271,3.9643500511141174,250,29,1.9748602478070927
840,9.14103915971044,3.952593811476647,250,29,1.9748602478070927
850,9.16039099035597,3.950063057548338,250,29,1.9748602478070927
860,9.195966784565595,3.9513041087953704,250,29,1.9748602478070927
870,9.221515800737272,3.9527454389255876,250,29,1.9748602478070927
880,9.239446227798409,3.963083668685579,250,29,1.9748602478070927
890,9.256846835229918,3.9806799246432814,250,29,1.9748602478070927
900,9.24561017332739,3.9785339493079173,250,29,1.9748602478070927
910,9.200107830914792,3.9684822492627942,250,29,1.9748602478070927
920,9.120759251126648,3.9499561952726494,250,29,1.9748602478070927
930,9.013499174889894,3.9195425548251137,250,29,1.9748602478070927
940,8.922741232547297,3.8889856100623335,250,29,1.9748602478070927
950,8.774706627332563,3.8508575276407284,250,29,1.9748602478070927
960,8.596607371511173,3.804324924389563,250,29,1.9748602478070927
970,8.416927086988263,3.7627643616519904,250,29,1.9748602478070927
980,8.254452973403174,3.725261583516591,250,29,1.9748602478070927
990,8.123775551608393,3.694337823046078,250,29,1.9748602478070927
1000,8.04729667268267,3.6681468141744613,250,29,1.9748602478070927
1010,7.9812803428080485,3.6474205808196625,250,29,1.9748602478070927
1020,7.924713836509046,3.6257913880145582,250,29,1.9748602478070927
1030,7.871759233973289,3.611695254638936,250,29,1.9748602478070927
1040,7.787521045470517,3.588311067837738,250,29,1.9748602478070927
1050,7.679258415978153,3.5587981440981045,250,29,1.9748602478070927
1060,7.555653085352688,3.5194707690088674,250,29,1.9748602478070927
1070,7.408459753577861,3.4621898001135643,250,29,1.9748602478070927
1080,7.260073022769575,3.402348056275137,250,29,1.9748602478070927
1090,7.191301488086259,3.3428222419145666,250,29,1.9748602478070927
1100,7.115447676153835,3.2823793688510645,250,29,1.9748602478070927
1110,7.112533101213238,3.2359729388588603,250,29,1.9748602478070927
1120,7.110263976057603,3.196382270876084,250,29,1.9748602478070927
1130,7.115469462678809,3.155036911195963,250,29,1.9748602478070927
1140,7.096627227847902,3.1048500834205925,250,29,1.9748602478070927
1150,7.159764166232362,3.081288116592319,250,29,1.9748602478070927
1160,7.249491700690703,3.0671697579040975,250,29,1.9748602478070927
