,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
1988,11214.760115210203,31.346826341940165,5.427302393605384,3402.2207567345076,5.0652958658752265,3.0074155812659176,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2002,11362.637144455512,33.63462731970324,5.5381128738153516,3468.498350344424,5.5506008702474565,2.9245126812323634,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2016,11508.346552447892,36.317260506214886,5.64133999148567,3529.389868104368,6.204347624152986,2.802096382390571,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2030,11654.482553921747,39.269187110056784,5.763225891560495,3594.370452282888,6.988054430387358,2.73439195283437,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2044,11774.535806163212,42.63113681378174,5.8634585893033195,3654.553790750896,7.71654150044438,2.618263316082648,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2058,11893.85779872659,46.14009637730637,6.024534874447621,3717.176425282473,8.674481466059254,2.468960743769848,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2072,12016.041843532561,49.42067317712712,6.274025427331338,3782.911680461649,9.82889086565085,2.2853022494948276,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2086,12117.742861604096,52.95491172127617,6.586649274203137,3841.673879479994,11.178833486009193,2.1253668299883004,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2100,12216.287084077263,57.38475245669502,6.765550828518582,3902.2488415676034,12.550450934018611,1.801130845563013,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2114,12300.006200429585,62.423986312542986,6.989744253168685,3951.274217187029,14.041697647715054,1.5352439957171855,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2128,12322.601237246214,68.60752254509043,6.797643101980488,3978.997109567185,15.702268737821054,1.3375926270781062,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2142,12296.190501136722,75.78094324886065,6.745661200852465,3987.68708660048,17.54553317008757,1.2172706140672345,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2156,12212.39300542985,81.82718389660353,6.315211986610584,3983.275611876865,19.525724197000265,0.9724121420503246,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2170,12080.85493034999,86.22686979296526,6.086751038521983,3973.2579580389925,21.329409260597064,0.9015134176657145,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2184,11889.460780757832,90.82049462927709,5.8665494562859895,3951.2209524127334,23.292424798544747,0.8693153968344283,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2198,11656.672349967146,95.81582749013968,5.755637765646645,3923.273024745484,25.36465407643031,0.9193820539388373,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
2212,11377.249290337251,102.3779736306674,5.480995168831551,3913.2196452331877,27.75282700053512,0.9827109368050145,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
